酒泉,620900
庆阳,621000
定西,621100
陇南,621200
西宁,630100
银川,640100
石嘴山,640200
吴忠,640300
固原,640400
中卫,640500
乌鲁木齐,650100
克拉玛依,650200
石河子,659001
阿拉尔,659002
图木舒克,659003
五家渠,659004
北屯,659005
铁门关,659006
双河,659007
可克达拉,659008
昆玉,659009
恩施,422800
恩施土家族苗族自治州,422800
延边,222400
延边朝鲜族自治州,222400
神农架地区,429021
神农架林区,429021
湘西州,433100
湘西土家族苗族自治州,433100
大兴安岭地区,232700
白沙县,469025
白沙黎族自治县,469025
昌江黎族自治县,469026
乐东黎族自治县,469027
陵水黎族自治县,469028
保亭黎族苗族自治县,469029
琼中黎族苗族自治县,469030
阿坝州,513200
阿坝藏族羌族自治州,513200
甘孜州,513300
甘孜藏族自治州,513300
凉山州,513400
凉山彝族自治州,513400
黔西南布依族苗族自治州,522300
黔东南苗族侗族自治州,522600
黔南布依族苗族自治州,522700
楚雄州,532300
楚雄彝族自治州,532300
红河州,532500
红河哈尼族彝族自治州,532500
文山,532600
文山壮族苗族自治州,532600
西双版纳傣族自治州,532800
大理州,532900
大理白族自治州,532900
德宏州,533100
德宏傣族景颇族自治州,533100
怒江州,533300
怒江傈僳族自治州,533300
迪庆州,533400
迪庆藏族自治州,533400
阿里地区,542500
临夏回族自治州,622900
甘南藏族自治州,623000
海北州,632200
海北藏族自治州,632200
黄南州,632300
黄南藏族自治州,632300
海南州,632500
海南藏族自治州,632500
果洛州,632600
果洛藏族自治州,632600
玉树州,632700
玉树藏族自治州,632700
海西州,632800
海西蒙古族藏族自治州,632800
昌吉州,652300
昌吉回族自治州,652300
博尔塔拉州,652700
博尔塔拉蒙古自治州,652700
巴音郭楞蒙古自治州,652800
哈密,650500
哈密地区,650500
阿克苏地区,652900
克孜勒苏州,653000
克孜勒苏柯尔克孜自治州,653000
伊犁州,654000
伊犁哈萨克自治州,654000
喀什地区,653100
和田地区,653200
塔城地区,654200
阿勒泰地区,654300
锡林郭勒盟,152500
阿拉善盟,152900
安徽,340000
福建,350000
甘肃,620000
广东,440000
贵州,520000
海南,460000
河北,130000
黑龙江,230000
河南,410000
湖北,420000
湖南,430000
江苏,320000
江西,360000
吉林,220000
辽宁,210000
青海,630000
山东,370000
山西,140000
陕西,610000
四川,510000
云南,530000
